title,link,image,content
EuroLeague'den Beşiktaş'a transfer!,https://www.duhuliye.com/euroleagueden-besiktasa-basantrenorluge-dusan-alimpijevici-getiren-ve-kadrosunda-buyuk-bir-degisime-giden-besiktas-e,https://duhuliyecom.teimg.com/crop/860x504/duhuliye-com/uploads/2023/07/whatsapp-image-2023-07-05-at-164554.jpeg," Beşiktaşlı yöneticilerden edindiğimiz bilgiye göre, Beşiktaş, Euro League'de de mücadele eden Fransız temsilcisi Asvel forması giyen Jonah Mathews ve yine Fransız ekibi Strasbourg'ta forma giyen Matt Mitchell ile imza aşamasına geldi. Transfer harekatını, yeni başantrenör Dusan Alimpijevic'in onayıyla yürüten Beşiktaş, oyun kurucu Needham'ın ardından kısa rotasyonunu bu iki oyuncuyla güçlendiriyor. Asvel forması giyen Jonah Matthews geçtiğimiz sezon Euro League'de maç başına ortalama 10,6 sayı, 1,5 rebound, 2,1 asistle oynarken, Strasbourg'da görev yapan kısa forvet Matt Mitchell ise geçtiğimiz sezonu 15,1 sayı, 3,7 rebound ve 2,1 asist ortalamayla tamamladı. Beşiktaş'ın iki oyuncuyla resmi sözleşmeyi kısa sürede imzalaması bekleniyor. Duhuliye.com ÖZEL HABER ..."
"Beşiktaş - Augsburg hazırlık maçı ne zaman, hangi kanalda?",https://www.duhuliye.com/besiktas-augsburg-hazirlik-maci-ne-zaman-hangi-kanalda,https://duhuliyecom.teimg.com/crop/860x504/duhuliye-com/uploads/2023/07/antrenman.jpg," Beşiktaş - Augsburg hazırlık maçı için heyecanlı bekleyiş başladı. Bu sezon Süper Lig, Ziraat Türkiye Kupası ve UEFA Konferans Ligi olmak üzere üç kulvarda ter dökecek olan siyah beyazlılar, 2023-2024 sezonu ilk hazırlık maçında Augsburg ile karşılaşacak. BEŞİKTAŞ AUGSBURG HAZIRLIK MAÇI NE ZAMAN? Beşiktaş - Augsburg hazırlık maçı 15 Temmuz Cumartesi günü saat 16:00'da oynanacak. BEŞİKTAŞ AUGSBURG HAZIRLIK MAÇI HANGİ KANALDA? Beşiktaş - Augsburg maçının yayıncı kanalı ilerleyen günlerde belli olacak, henüz netlik kazanmadı. ..."
"""Şenol Güneş, Kristoffer Velde transferine ne dedi?""",https://www.duhuliye.com/senol-gunes-kristoffer-velde-transferine-ne-dedi,https://duhuliyecom.teimg.com/crop/860x504/duhuliye-com/uploads/2023/07/79c82b2ecf414e36ace9815111a21117.jpg," Serdar Sarıdağ şunları söyledi: Beşiktaş'ın gündeminde olmayan oyunculardan bir tanesi Güven Yalçın çünkü mental olarak hiçbir zaman Beşiktaş'ta kendini hazır hissetmedi ve verilen fırsatları değerlendiremedi. Kuzyaev kendi takımında sözleşme uzatma durumu ihtimali var fakat bu uzatma olayı Beşiktaş ile görüşmelerde bir koz olarak kullanılıyor. Bu kozun net cevabı ise daha fazla para demek. Beşiktaş'ın transfer listesinde elde çok oyuncu var. Burak Yılmaz'ın varlığı birçok Türk oyuncuların transferinde olumlu katkı yapacaktır. Sabitzer ve Matip olması imkânsız iki transfer bütçe açısından bu iş olamaz. Gustavo Scarpa geniş transfer listesinde ismi yer alan futbolculardan. Birkaç ismin transferi olmaz ise olabilecek bir isim. Afrikalı birçok oyuncu takip ediliyor. Beşiktaş'ın mutlaka bir Türk kulübünden iyi yerli veya Türk kulüplerinden iyi yabancı alacaklarını düşünüyorum. Şenol Güneş'in isteği ile yerli oyuncu kadrosunu daha güçlendirmek hatta önümüzdeki sezon ilk onbirde dört Türk oyuncunun oynamasınıda Şenol Güneş'in ve Beşiktaş yönetimi açısından önemli olduğunu bu konuya sıcak baktıklarını söyleyebilirim. Beşiktaş, Halil dervişoğlu için bonservis bedeli ödemek istemiyor. ..."
Beşiktaş'a Euroleague müjdesi!,https://www.duhuliye.com/besiktasa-euroleague-mujdesi,https://duhuliyecom.teimg.com/crop/640x320/duhuliye-com/uploads/2023/07/ogimage-en.png, Beşiktaş Kadın Basketbol Takımı’nın ön elemedeki rakibi 9 Ağustos Çarşamba günü Almanya’nın Münih kentinde yapılacak kura çekiminde belli olacak. ...
Beşiktaş’ta Aboubakar ve Masuaku antrenmanda yer aldı,https://www.duhuliye.com/besiktasta-aboubakar-ve-masuaku-antrenmanda-yer-aldi,https://duhuliyecom.teimg.com/crop/640x320/duhuliye-com/uploads/2023/07/a82893f14a21f091ca04221219fe0751pr.jpg," Teknik direktör Şenol Güneş yönetiminde gerçekleştirilen idmanda siyah-beyazlılar, kondisyon ve taktik çalıştı. Isınma, kuvvet ve koordinasyon çalışmalarıyla başlayan antrenman, 5’e 2 top kapma çalışmasının ardından pilates topuyla yapılan voleybol maçıyla tamamlandı. Beşiktaş, yeni sezon hazırlıklarına akşam yapacağı antrenmanla devam edecek. ..."
Süper Lig'de fikstür ne zaman çekilecek?,https://www.duhuliye.com/super-ligde-fikstur-ne-zaman-cekilecek,https://duhuliyecom.teimg.com/crop/640x320/duhuliye-com/uploads/2022/09/bjk-logolar/screen-shot-2022-09-13-at-105643.JPG," Bu sezon 20 takımla oynayacak ligde fikstür de oldukça yoğun olacak. Milli maçlar, Ziraat Türkiye Kupası ve Avrupa maçları eklendiğinde takımları oldukça yoğun bir tempo bekliyor. Peki Süper Lig'de fikstür çekimi ne zaman yapılacak. TFF'nin Temmuz ayının 15'inden önce fikstür çekimini yapmayı planladığı öğrenildi. Alınan bilgilere göre önümüzdeki haftanın sonuna doğru Türkiye Futbol Federasyonu'nun Riva'daki merkezinde fikstür çekimi gerçekleştirilecek. Duhuliye.com ..."
"""Beşiktaş'ın şu an bitirmeye en yakın görünen oyuncuları Amartey ve Kuzyaev""",https://www.duhuliye.com/besiktasin-su-an-bitirmeye-en-yakin-gorunen-oyunculari-amartey-ve-kuzyaev,https://duhuliyecom.teimg.com/crop/640x320/duhuliye-com/uploads/2023/07/image-104.png," Kartal Yiğit'in sözlerinden öne çıkanlar şöyle: Antremanda Ahmet Nur Çebi ve Ceyhun Kazancı ile görüştük. İşin ön planda görünen kısmında Ceyhun Kazancı var. Beşiktaş transfer komitesi bu sene farklı bir yöntem uyguluyor. Daha doğrusu başkan, Ceyhun Kazancı ve Emre Kocadağ. Ceyhun Kazancı geçtiğimiz günlerde İngiltere'de idi ve bazı görüşmeler yaptı. Beşiktaş'ın şu an transferini bitirmeye en yakın görünen oyuncuları Kuzyaev ve Amartey... Bir stoper ve orta saha oyuncusu. Bu iki oyuncu için iyi bir aşamaya gelindi zaten sayın Kazancı'da söyledi benimde edindiğim bilgiler kamp öncesi veya kampın ilk günlerinde bu iki transferin bitme ihtimalinin çok yüksek olduğu yönünde. Beşiktaş camiası sosyal medya üzerinden geç kalındığı yönünde eleştiriler yapıyor ama işin aslı öyle değil hakikaten çalışmalar en üst düzeyde yapılıyor. Başkan Ahmet NUr Çebi kulübün parasını kullanma konusunda biraz zaten bu konuda titiz davranan yöneticilerden. İnce eleyip, sık dokuyorlar... Kulübü çok borca sokmadan ideal transferlerle işi bitirmek istiyorlar. ..."
Beşiktaş'ın rakibi Ajax,https://www.duhuliye.com/besiktasin-rakibi-ajax,https://duhuliyecom.teimg.com/crop/640x320/duhuliye-com/uploads/2023/07/adam.jpg," Ancak Hollanda basınında çıkan habere göre Beşiktaş'ın işi zora girdi. AJAX TALİP OLDU Hollanda basını Beşiktaş'ın Ajax'la Norveç ekibi Lillestrom'un golcüsü için kapıştığını öne sürdü. 23 yaşındaki Nijeryalı oyuncu, Norveç liginde 11 maçta 10 gol ve 1 asistlik performansıyla göz doldurdu. Beşiktaş'ın takibindeki Akor Adams ile Hollanda devi Ajax da ilgileniyor. Norveç ekibi de iki kulübün rekabetinden yararlanarak golcüsünden 5-6 milyon euro kazanmak niyetinde. sporx ..."
Ersin'in kaderi belli oluyor! Yeni adresi... ,https://www.duhuliye.com/ersinin-kaderi-belli-oluyor-yeni-adresi,https://duhuliyecom.teimg.com/crop/640x320/duhuliye-com/uploads/2023/07/6320112f86b24a46c42214e3.webp," Beşiktaş’ta geçen sezon kaleyi Mert Günok’a kaptıran genç kaleci Ersin Destanoğlu, birçok maçta yedek kulübesinde yer almıştı. Genç kalecinin bu durumdan rahatsız olduğu bilinirken yeni sezonda takımda kalıp kalmayacağı merak konusu olmuştu. Ersin Destanoğlu’yla Süper Lig’den bazı takımlar ilgileniyor. Ersin’in olası transfer tercihinin Avrupa olduğu belirtildi. Genç futbolcunun transferi için Avrupa’dan bir takımın ısrarcı olduğu yurt dışına transfer olma ihtimalinin yüksek olduğu ifade edildi. Transfermarkt’a göre bonservis değeri 5 milyon euro olarak gösterilen 22 yaşındaki Ersin Destanoğlu, siyah beyazlı formayı geçen sezon 11 maçta giydi, kalesinde 14 gol gördü, 3 maçta ise gol yemedi. Duhuliye.com ..."
''Beşiktaş o parayı verir mi? Emin değilim..'',https://www.duhuliye.com/besiktas-o-parayi-verir-mi-emin-degilim,https://duhuliyecom.teimg.com/crop/640x320/duhuliye-com/uploads/2023/07/zayt.jpg," Kazakistan Milli Futbol Takımı'nın eski oyuncusu Timur Sissenov, Beşiktaş'ın CSKA'da forma giyen Zaynutdinov'a olan ilgisi hakkındaki görüşünü Sports.kz ile paylaştı. ''Benim düşünceme göre, Baha zaten profesyonel bir futbolcu olarak gündemdeki yerini aldı. Herhangi bir kulübe adapte olabilecek yetenekte. Doğru. Bir ama var. Atılan gollere ve asistlere bakılarak bir hücum oyuncusu olarak görülmüyor. Büyük ölçüde, oyunu iyi anlayan insanların fark edebileceği türden bir çalışma yapıyor. Türk taraftarlar hücum oyuncularının gollerini görmek ister. Bu bakımdan onun için kolay olmayacak. Ama genel olarak, neden denemiyorsun denir. Baha'nın başarılı olacağını düşünüyorum.'' Bu arada Yusuf Yazıcı'nın menajeri Adem Cebeci, Beşiktaş'ın Kazak oyuncu için istenen rakamı ödeyemeyeceğini iddia etti. Cebeci, Sports.kz’ye şunları söyledi. '' İyi bir oyuncu. Gerçekten hoşuma gitti. Ancak Beşiktaş'ın onun için 6 milyon Euro'dan fazla para ödeyebileceğinden emin değilim.'' fotospor ..."
